iter	Passed	Remaining
504	2336417	2290151
505	2341029	2285510
506	2345615	2280845
507	2350292	2276267
508	2354852	2271576
509	2359573	2267041
510	2364207	2262421
511	2368745	2257710
512	2373391	2253102
513	2377995	2248455
514	2382636	2243841
515	2387281	2239232
516	2391878	2234578
517	2396455	2229906
518	2401101	2225298
519	2405813	2220750
520	2410376	2216065
521	2415049	2211482
522	2419576	2206764
523	2424205	2202140
524	2428863	2197543
525	2433424	2192857
526	2437927	2188120
527	2442554	2183495
528	2447156	2178848
529	2451776	2174217
530	2456332	2169529
531	2461008	2164947
532	2465622	2160310
533	2470164	2155611
534	2474815	2151007
535	2479449	2146388
536	2484038	2141731
537	2488573	2137027
538	2493316	2132502
539	2497895	2127836
540	2502522	2123212
541	2507006	2118466
542	2511657	2113862
543	2516251	2109210
544	2520893	2104598
545	2525607	2100046
546	2530163	2095364
547	2534918	2090844
548	2539584	2086252
549	2544147	2081575
550	2548794	2076966
551	2553331	2072268
552	2557966	2067651
553	2562718	2063126
554	2567278	2058448
555	2571845	2053775
556	2576430	2049118
557	2581081	2044512
558	2585725	2039901
559	2590392	2035308
560	2594780	2030496
561	2599399	2025866
562	2604041	2021253
563	2608677	2016637
564	2613273	2011989
565	2617926	2007385
566	2622575	2002778
567	2627282	1998214
568	2631894	1993578
569	2636601	1989015
570	2641145	1984328
571	2645701	1979650
572	2650271	1974984
573	2654882	1970348
574	2659647	1965826
575	2664329	1961242
576	2668913	1956586
577	2673524	1951950
578	2678139	1947317
579	2682808	1942723
580	2687450	1938109
581	2692087	1933492
582	2696729	1928878
583	2701254	1924180
584	2705902	1919571
585	2710569	1914975
586	2715190	1910347
587	2719871	1905760
588	2724501	1901137
589	2729077	1896477
590	2733666	1891827
591	2738304	1887210
592	2742870	1882543
593	2747685	1878047
594	2752244	1873376
595	2756783	1868691
596	2761412	1864068
597	2766015	1859428
598	2770681	1854830
599	2775344	1850229
600	2780002	1845625
601	2784460	1840889
602	2789099	1836273
603	2793680	1831618
604	2798418	1827066
605	2803033	1822434
606	2807616	1817781
607	2812317	1813205
608	2816951	1808584
609	2821733	1804058
610	2826351	1799428
611	2831003	1794819
612	2835485	1790102
613	2840078	1785456
614	2844743	1780855
615	2849460	1776286
616	2854163	1771709
617	2858765	1767068
618	2863417	1762459
619	2868087	1757860
620	2872630	1753183
621	2877223	1748537
622	2881851	1743913
623	2886489	1739295
624	2891098	1734659
625	2895751	1730049
626	2900412	1725444
627	2905098	1720854
628	2909665	1716194
629	2914441	1711656
630	2919172	1707091
631	2923918	1702535
632	2928516	1697892
633	2933133	1693260
634	2937683	1688589
635	2942338	1683979
636	2946965	1679354
637	2951539	1674698
638	2956313	1670155
639	2960971	1665546
640	2965509	1660870
641	2970176	1656266
642	2974735	1651602
643	2979377	1646985
644	2983964	1642337
645	2988568	1637698
646	2993193	1633071
647	2997887	1628482
648	3002483	1623839
649	3007141	1619229
650	3011829	1614636
651	3016519	1610044
652	3021182	1605436
653	3025825	1600818
654	3030395	1596162
655	3035033	1591541
656	3039668	1586919
657	3044366	1582330
658	3049108	1577763
659	3053806	1573173
660	3058482	1568571
661	3063096	1563937
662	3067717	1559307
663	3072382	1554699
664	3077027	1550081
665	3081639	1545446
666	3086179	1540776
667	3090763	1536127
668	3095325	1531468
669	3100018	1526874
670	3104536	1522194
671	3109092	1517533
672	3113560	1512829
673	3118205	1508212
674	3122873	1503605
675	3127465	1498962
676	3132185	1494381
677	3136771	1489735
678	3141330	1485076
679	3145969	1480456
680	3150611	1475837
681	3155133	1471162
682	3159730	1466522
683	3164197	1461822
684	3168892	1457227
685	3173514	1452599
686	3178102	1447956
687	3182864	1443392
688	3187506	1438772
689	3192148	1434153
690	3196754	1429518
691	3201255	1424836
692	3205950	1420240
693	3210659	1415650
694	3215359	1411057
695	3219937	1406409
696	3224614	1401805
697	3229350	1397226
698	3233921	1392575
699	3238629	1387983
700	3243362	1383402
701	3247816	1378702
702	3252492	1374096
703	3257068	1369449
704	3261705	1364827
705	3266274	1360176
706	3270779	1355499
707	3275394	1350868
708	3280077	1346265
709	3284680	1341630
710	3289260	1336984
711	3293895	1332362
712	3298466	1327713
713	3303057	1323073
714	3307705	1318455
715	3312365	1313843
716	3317032	1309233
717	3321633	1304596
718	3326381	1300018
719	3330987	1295384
720	3335524	1290722
721	3340113	1286082
722	3344721	1281449
723	3349418	1276850
724	3354153	1272265
725	3358668	1267596
726	3363221	1262943
727	3367743	1258277
728	3372484	1253694
729	3377156	1249085
730	3381673	1244418
731	3386311	1239797
732	3390814	1235126
733	3395515	1230527
734	3400228	1225932
735	3404830	1221297
736	3409591	1216719
737	3414238	1212101
738	3418866	1207475
739	3423457	1202836
740	3428187	1198246
741	3432692	1193577
742	3437302	1188945
743	3441968	1184333
744	3446602	1179709
745	3451251	1175090
746	3455735	1170416
747	3460365	1165791
748	3464946	1161150
749	3469461	1156487
750	3474040	1151845
751	3478803	1147265
752	3483426	1142637
753	3488073	1138018
754	3492663	1133380
755	3497318	1128764
756	3501857	1124109
757	3506575	1119513
758	3511139	1114867
759	3515769	1110243
760	3520411	1105622
761	3524990	1100981
762	3529583	1096345
763	3534190	1091713
764	3538832	1087092
765	3543565	1082499
766	3548249	1077890
767	3552831	1073251
768	3557475	1068630
769	3562082	1063998
770	3566732	1059379
771	3571520	1054801
772	3576034	1050142
773	3580747	1045541
